compound-id	smiles
001-1j4r	COc1cc(cc(c1OC)OC)C(C(=O)N2CCCC[C@H]2C(=O)O[C@@H](CCCc3ccccc3)CCCc4cccnc4)(F)F
100-1qs4	c1cc2c(cc1Cl)c(c[nH]2)C(=O)CC(=O)c3[nH]nnn3
101-1cs4	c1[nH]c2c(ncnc2[n+]1[C@H]3C[C@@H]([C@H](O3)CO)OP(=O)(O)O)N
106-1fvt	c1cc(ccc1\N=N\c2c3cc(ccc3[nH]c2O)Br)S(=O)(=O)N
108-1g3b	C[C@@H](C(=O)O)\N=C\c1cc(ccc1O)C(=N)N
108-1g3d	C[C@@H](C(=O)O)\N=C\c1cc(ccc1O)C(=N)N
111-1g49	CCCCOc1ccc(cc1)S(=O)(=O)[N@@]2C[C@H](C[C@@H]2C(=O)NO)NS(=O)(=O)C
114-1hw8	[CH3:39][CH2:37][C@H:36]([CH3:42])[C:35](=[O:47])[O:34][C@H:33]1[CH2:31][CH2:30][CH:28]=[C:16]2[C@H:14]1[C@H:13]([C@H:19]([CH:18]=[CH:17]2)[CH3:20])[CH2:10][CH2:8][C@H:7]([CH2:5][C@H:4]([CH2:3][C:2](=[O:1])[OH:62])[OH:58])[OH:53]
116-1hwj	CC(C)c1c(c(c(c(n1)C(C)C)\C=C\[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)COC
117-1hwk	CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4
122-1gi2	[cH:14]1[cH:13][cH:12][c:11]([c:10]([cH:15]1)[c:9]2[nH:22][c:4]3[cH:3][cH:2][c:1]([cH:6][c:5]3[n:8]2)[CH:26]([NH2:28])[NH2:31])[OH:20]
123-1gi9	COc1ccc(c(c1)c2[nH]c3cc(ccc3n2)C(N)N)O
125-1i0g	[CH3:328][c:327]1[cH:329][n:321]([c:322](=[O:323])[nH:324][c:325]1=[O:326])[C@H:320]2[C@@H:318]([C@@H:316]([C@H:314]([O:315]2)[CH2:313][O:312][P:309](=[O:311])([OH:310])[OH:296])[OH:317])[O:319][CH2:330][CH2:331][F:332]
